regulation_id,reg_no,product,product_slug,farm_kind,avia,norm_raw,norm_min,norm_max,norm_unit,dose_per_10l,crop_raw,target_raw,method,liquid_rate,wait_days,max_treatments,exit_manual,exit_mech,page
8032,063-03-2788-1,"2,4-Дактив",2-4-daktiv,C,0,"0,8-1,0",0.8,1.0,,,"Пшеница озимая, ячмень озимый","Однолетние и некоторые многолетние (бодяк полевой) двудольные, сорные растения",Опрыскивание посевов весной в фазе кущения культуры,200-300 л/га,54,1,-,3,690
8033,063-03-2788-1,"2,4-Дактив",2-4-daktiv,C,0,"0,6-1,0",0.6,1.0,,,"Пшеница яровая, ячмень яровой","Однолетние и некоторые многолетние (бодяк полевой) двудольные, сорные растения",Опрыскивание посевов в фазе кущения культуры и ранние фазы роста сорных растений,200-300 л/га,54,1,-,3,690
11611,018-03-785-1,АРГО,argo,C,0,"0,7-1",0.7,1.0,,,Пшеница яровая и озимая,"Однолетние злаковые сорные растения (в том числе виды щетинника, просо куриное, просо сорно-полевое, овсюг, метлица полевая)",Опрыскивание посевов по вегетирующим злаковым сорнякам (от 2-3 листьев до конца кущения) независимо от фазы развития культуры. Озимая пшеница обрабатывается весной.,200-300 л/га,60,1,-,3,1191
6055,014-02-2929-1,Абакус Прайм,abakus-praym,C,0,"0,9-1,4",0.9,1.4,,,"Пшеница яровая, озимая","Мучнистая роса, ржавчина бурая, септориоз листьев и колоса, пиренофороз, ржавчина желтая",Опрыскивание растений в период вегетации,200-300 л/га,40,1,-,3,496
6056,014-02-2929-1,Абакус Прайм,abakus-praym,C,0,"0,9-1,4",0.9,1.4,,,"Ячмень яровой, озимый","Мучнистая роса, ринхоспориоз, сетчатая пятнистость, темно-бурая пятнистость, ржавчина карликовая",Опрыскивание растений в период вегетации,200-300 л/га,40,1,-,3,497
6057,014-02-2929-1,Абакус Прайм,abakus-praym,C,0,"0,8-1,4",0.8,1.4,,,Свекла сахарная,"Церкоспороз, мучнистая роса, фомоз","Опрыскивание в период вегетации при появлении первых признаков одной из болезней, последующее – с интервалом 14-21 день",300 л/га,20,1,-,3,497
6049,014-02-3672-1,Абакус Ультра,abakus-ultra,C,0,"1-1,5",1.0,1.5,,,Пшеница яровая и озимая,"Мучнистая роса, бурая ржавчина, стеблевая ржавчина, септориоз листьев и колоса, пиренофороз, темно-бурая пятнистость",Опрыскивание в период вегетации при появлении первых признаков болезней,300 л/га,40,1,-,3,496
6050,014-02-3672-1,Абакус Ультра,abakus-ultra,C,1,"1,5",1.5,1.5,,,Пшеница яровая и озимая,"Мучнистая роса, бурая ржавчина, стеблевая ржавчина, септориоз листьев и колоса, пиренофороз, темно-бурая пятнистость",Опрыскивание в период вегетации при появлении первых признаков болезней,25-50 л/га,40,1,-,3,496
6051,014-02-3672-1,Абакус Ультра,abakus-ultra,C,0,"1-1,5",1.0,1.5,,,"Ячмень яровой, озимый","Мучнистая роса, ржавчина карликовая, сетчатая пятнистость, тёмно-бурая пятнистость, ринхоспориоз",Опрыскивание в период вегетации при появлении первых признаков болезней,300 л/га,40,1,-,3,496
6052,014-02-3672-1,Абакус Ультра,abakus-ultra,C,1,"1,5",1.5,1.5,,,Ячмень яровой,"Мучнистая роса, ржавчина карликовая, сетчатая пятнистость, тёмно-бурая пятнистость, ринхоспориоз",Опрыскивание в период вегетации при появлении первых признаков болезней,300 л/га,40,1,-,3,496
6053,014-02-3672-1,Абакус Ультра,abakus-ultra,C,1,"1,5",1.5,1.5,,,Ячмень яровой,"Мучнистая роса, ржавчина карликовая, сетчатая пятнистость, тёмно-бурая пятнистость, ринхоспориоз",Опрыскивание в период вегетации при появлении первых признаков болезней,25-50 л/га,40,1,-,3,496
6054,014-02-3672-1,Абакус Ультра,abakus-ultra,C,0,"1,25-1,75",1.25,1.75,,,Свёкла сахарная,"Церкоспороз, мучнистая роса, фомоз","Опрыскивание в период вегетации: первое – профилактическое или при появлении первых признаководного из заболеваний, последующее – с интервалом 14-21 день",300 л/га,50,2,-,3,496
7647,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"7,8",7.8,7.8,,,Виноград,"Милдью, антракноз, черная пятнистоть",Опрыскивание в период вегетации,800-1000 л/га,30,6,3,3,654
7648,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"4,8-9,6",4.8,9.6,,,"Яблоня, груша, айва","Парша, монилиоз",Опрыскивание в период вегетации,1500 л/га,30,4,3,3,654
7649,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"2,9-3,8",2.9,3.8,,,Картофель,"Фитофтороз, альтернариоз",Опрыскивание в период вегетации,400 л/га,20,5,3,3,654
7650,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"2,8-4,8",2.8,4.8,,,Свекла сахарная,Церкоспороз,Опрыскивание в период вегетации,600-800 л/га,20,3,3,3,654
7651,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"3,2-4,5",3.2,4.5,,,Томат открытого грунта,"Фитофтороз, альтернариоз, бурая пятнистость",Опрыскивание в период вегетации,400-600 л/га,20,4,3,3,654
7652,407-02-1316-1,Абига-Пик,abiga-pik,C,0,3,3.0,3.0,,,Огурец открытого грунта,"Пероноспороз, антракноз, бактериоз",Опрыскивание в период вегетации,400-600 л/га,20,3,3,3,654
7653,407-02-1316-1,Абига-Пик,abiga-pik,C,0,3,3.0,3.0,,,Лук всех генераций,Пероноспороз,Опрыскивание в период вегетации,300-400 л/га,20,3,3,3,654
7654,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"2,8",2.8,2.8,,,Лен -долгунец,"Антракноз, фузариоз",Опрыскивание по всходами в фазе «елочки»,300-400 л/га,,2,3,3,654
7655,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"4,8-9,6",4.8,9.6,,,"Слива, персик, абрикос, вишня, черешня","Кластероспориоз, коккомикоз, монилиоз, курчавость",Опрыскивание в период вегетации,800-1000 л/га,30,4,3,3,654
7656,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"2,4-4,4",2.4,4.4,,,Лаванда,Септориоз,Опрыскивание в период вегетации,500 л/га,20,3,3,3,654
7657,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"3,6",3.6,3.6,,,Паслен дольчатый,Септориоз,Опрыскивание в период вегетации,300 л/га,20,2,3,3,654
7658,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"2,4",2.4,2.4,,,"Наперстянк а шерстистая, мята перечная",Септориоз,Опрыскивание в период вегетации,300 л/га,20,2,3,3,654
7659,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"2,9",2.9,2.9,,,Подорожни к большой,"Ржавчина белая, мучнистая роса",Опрыскивание в период вегетации,300 л/га,20,2,3,3,654
7660,407-02-1316-1,Абига-Пик,abiga-pik,C,0,3,3.0,3.0,,,Лапчатка белая,Ржавчина,Опрыскивание 2-кратно на 1-м и 2-м году вегетации,300 л/га,,2,3,3,654
7661,407-02-1316-1,Абига-Пик,abiga-pik,C,0,"2,4-9,6",2.4,9.6,,,Лиственные и хвойные,Ржавчина,Опрыскивание в перирод вегетации,500-1000 л/га,,1,3,3,654
